[0, 'video_2.mp4', 20.3908, '15:58:34', '2021-05-10', '']
[0, 'video.mp4', 19.8913, '15:58:37', '2021-05-10', '']
[0, 'video_1.mp4', 19.8913, '15:58:37', '2021-05-10', '']
[0, 'video_3.mp4', 19.8913, '15:58:37', '2021-05-10', '']
[0, 'video_2.mp4', 19.8913, '15:58:37', '2021-05-10', '']
[0, 'video.mp4', 20.5898, '15:58:40', '2021-05-10', '']
[0, 'video_1.mp4', 20.5898, '15:58:40', '2021-05-10', '']
[0, 'video_3.mp4', 20.5898, '15:58:40', '2021-05-10', '']
[0, 'video_2.mp4', 20.5898, '15:58:40', '2021-05-10', '']
[0, 'video.mp4', 20.9114, '15:58:43', '2021-05-10', '']
[0, 'video_1.mp4', 20.9114, '15:58:43', '2021-05-10', '']
[0, 'video_3.mp4', 20.9114, '15:58:43', '2021-05-10', '']
[0, 'video_2.mp4', 20.9114, '15:58:43', '2021-05-10', '']
[0, 'video.mp4', 20.3908, '15:58:49', '2021-05-10', '']
[0, 'video_1.mp4', 20.3908, '15:58:49', '2021-05-10', '']
[0, 'video_3.mp4', 20.3908, '15:58:49', '2021-05-10', '']
[0, 'video_2.mp4', 20.3908, '15:58:49', '2021-05-10', '']
[0, 'video.mp4', 19.8913, '15:58:49', '2021-05-10', '']
[0, 'video_1.mp4', 19.8913, '15:58:49', '2021-05-10', '']
[0, 'video_3.mp4', 19.8913, '15:58:49', '2021-05-10', '']
[0, 'video_2.mp4', 19.8913, '15:58:49', '2021-05-10', '']
[0, 'video.mp4', 20.5898, '15:58:49', '2021-05-10', '']
[0, 'video_1.mp4', 20.5898, '15:58:49', '2021-05-10', '']
[0, 'video_3.mp4', 20.5898, '15:58:49', '2021-05-10', '']
[0, 'video_2.mp4', 20.5898, '15:58:49', '2021-05-10', '']
[0, 'video.mp4', 20.9114, '15:58:50', '2021-05-10', '']
[0, 'video_1.mp4', 20.9114, '15:58:50', '2021-05-10', '']
[0, 'video_3.mp4', 20.9114, '15:58:50', '2021-05-10', '']
[0, 'video_2.mp4', 20.9114, '15:58:50', '2021-05-10', '']
[0, 'video.mp4', 19.838, '15:58:50', '2021-05-10', '']
[0, 'video_1.mp4', 19.838, '15:58:50', '2021-05-10', '']
[0, 'video_2.mp4', 19.838, '15:58:50', '2021-05-10', '']
[0, 'video_3.mp4', 19.838, '15:58:50', '2021-05-10', '']
[0, 'video.mp4', 19.671, '15:58:50', '2021-05-10', '']
[0, 'video_1.mp4', 19.671, '15:58:50', '2021-05-10', '']
[0, 'video_2.mp4', 19.671, '15:58:50', '2021-05-10', '']
[0, 'video_3.mp4', 19.671, '15:58:50', '2021-05-10', '']
[0, 'video.mp4', 20.4822, '15:58:51', '2021-05-10', '']
[0, 'video_1.mp4', 20.4822, '15:58:51', '2021-05-10', '']
[0, 'video_2.mp4', 20.4822, '15:58:51', '2021-05-10', '']
[0, 'video_3.mp4', 20.4822, '15:58:51', '2021-05-10', '']
[0, 'video.mp4', 19.9707, '15:58:51', '2021-05-10', '']
[0, 'video_1.mp4', 19.9707, '15:58:51', '2021-05-10', '']
[0, 'video_2.mp4', 19.9707, '15:58:51', '2021-05-10', '']
[0, 'video_3.mp4', 19.9707, '15:58:51', '2021-05-10', '']
[0, 'video.mp4', 19.6096, '15:58:51', '2021-05-10', '']
[0, 'video_1.mp4', 19.6096, '15:58:51', '2021-05-10', '']
[0, 'video_2.mp4', 19.6096, '15:58:51', '2021-05-10', '']
[0, 'video_3.mp4', 19.6096, '15:58:51', '2021-05-10', '']
[0, 'video.mp4', 19.9273, '15:58:52', '2021-05-10', '']
[0, 'video_1.mp4', 19.9273, '15:58:52', '2021-05-10', '']
[0, 'video_3.mp4', 19.9273, '15:58:52', '2021-05-10', '']
[0, 'video_2.mp4', 19.9273, '15:58:52', '2021-05-10', '']
[0, 'video_1.mp4', 20.4938, '15:58:52', '2021-05-10', '']
[0, 'video.mp4', 20.4938, '15:58:52', '2021-05-10', '']
[0, 'video_2.mp4', 20.4938, '15:58:52', '2021-05-10', '']
[0, 'video_3.mp4', 20.4938, '15:58:52', '2021-05-10', '']
[0, 'video_1.mp4', 20.072, '15:58:52', '2021-05-10', '']
[0, 'video.mp4', 20.072, '15:58:52', '2021-05-10', '']
