['video_1.mp4', '20.0752%', datetime.datetime(2021, 5, 8, 23, 1, 39, 598724)]
['video_3.mp4', '20.0752%', datetime.datetime(2021, 5, 8, 23, 1, 39, 614738)]
['video_2.mp4', '20.0752%', datetime.datetime(2021, 5, 8, 23, 1, 39, 630752)]
['video_1.mp4', '20.0720%', datetime.datetime(2021, 5, 8, 23, 1, 39, 787362)]
['video_3.mp4', '20.0720%', datetime.datetime(2021, 5, 8, 23, 1, 39, 803376)]
['video_2.mp4', '20.0720%', datetime.datetime(2021, 5, 8, 23, 1, 39, 819390)]
['video_1.mp4', '19.6590%', datetime.datetime(2021, 5, 8, 23, 1, 39, 975741)]
['video_3.mp4', '19.6590%', datetime.datetime(2021, 5, 8, 23, 1, 39, 992756)]
['video_2.mp4', '19.6590%', datetime.datetime(2021, 5, 8, 23, 1, 40, 8770)]
['video_1.mp4', '19.6237%', datetime.datetime(2021, 5, 8, 23, 1, 40, 164238)]
['video_3.mp4', '19.6237%', datetime.datetime(2021, 5, 8, 23, 1, 40, 181252)]
['video_2.mp4', '19.6237%', datetime.datetime(2021, 5, 8, 23, 1, 40, 197266)]
['video_1.mp4', '19.6223%', datetime.datetime(2021, 5, 8, 23, 1, 40, 352519)]
['video_3.mp4', '19.6223%', datetime.datetime(2021, 5, 8, 23, 1, 40, 368533)]
['video_2.mp4', '19.6223%', datetime.datetime(2021, 5, 8, 23, 1, 40, 384547)]
['video_1.mp4', '20.1338%', datetime.datetime(2021, 5, 8, 23, 1, 40, 540228)]
['video_3.mp4', '20.1338%', datetime.datetime(2021, 5, 8, 23, 1, 40, 558244)]
['video_2.mp4', '20.1338%', datetime.datetime(2021, 5, 8, 23, 1, 40, 574258)]
['video_1.mp4', '20.2344%', datetime.datetime(2021, 5, 8, 23, 1, 40, 729137)]
['video_3.mp4', '20.2344%', datetime.datetime(2021, 5, 8, 23, 1, 40, 745151)]
['video_2.mp4', '20.2344%', datetime.datetime(2021, 5, 8, 23, 1, 40, 761165)]
['video_1.mp4', '20.2510%', datetime.datetime(2021, 5, 8, 23, 1, 40, 916758)]
['video_3.mp4', '20.2510%', datetime.datetime(2021, 5, 8, 23, 1, 40, 933773)]
['video_2.mp4', '20.2510%', datetime.datetime(2021, 5, 8, 23, 1, 40, 949788)]
['video_1.mp4', '19.3848%', datetime.datetime(2021, 5, 8, 23, 1, 41, 106130)]
['video_3.mp4', '19.3848%', datetime.datetime(2021, 5, 8, 23, 1, 41, 122144)]
['video_2.mp4', '19.3848%', datetime.datetime(2021, 5, 8, 23, 1, 41, 138159)]
['video_1.mp4', '19.1122%', datetime.datetime(2021, 5, 8, 23, 1, 41, 296150)]
['video_3.mp4', '19.1122%', datetime.datetime(2021, 5, 8, 23, 1, 41, 311163)]
['video_2.mp4', '19.1122%', datetime.datetime(2021, 5, 8, 23, 1, 41, 328178)]
['video_1.mp4', '19.1190%', datetime.datetime(2021, 5, 8, 23, 1, 41, 482532)]
['video_3.mp4', '19.1190%', datetime.datetime(2021, 5, 8, 23, 1, 41, 499547)]
['video_2.mp4', '19.1190%', datetime.datetime(2021, 5, 8, 23, 1, 41, 515562)]
['video_1.mp4', '19.0777%', datetime.datetime(2021, 5, 8, 23, 1, 41, 668236)]
['video_3.mp4', '19.0777%', datetime.datetime(2021, 5, 8, 23, 1, 41, 683248)]
['video_2.mp4', '19.0777%', datetime.datetime(2021, 5, 8, 23, 1, 41, 698262)]
['video_1.mp4', '19.9788%', datetime.datetime(2021, 5, 8, 23, 1, 41, 852631)]
['video_3.mp4', '19.9788%', datetime.datetime(2021, 5, 8, 23, 1, 41, 868641)]
['video_2.mp4', '19.9788%', datetime.datetime(2021, 5, 8, 23, 1, 41, 884655)]
['video_1.mp4', '20.0148%', datetime.datetime(2021, 5, 8, 23, 1, 42, 40186)]
['video_3.mp4', '20.0148%', datetime.datetime(2021, 5, 8, 23, 1, 42, 58203)]
['video_2.mp4', '20.0148%', datetime.datetime(2021, 5, 8, 23, 1, 42, 74216)]
['video_1.mp4', '20.1070%', datetime.datetime(2021, 5, 8, 23, 1, 42, 230521)]
['video_3.mp4', '20.1070%', datetime.datetime(2021, 5, 8, 23, 1, 42, 246535)]
['video_2.mp4', '20.1070%', datetime.datetime(2021, 5, 8, 23, 1, 42, 262548)]
['video_1.mp4', '19.1772%', datetime.datetime(2021, 5, 8, 23, 1, 42, 418717)]
['video_3.mp4', '19.1772%', datetime.datetime(2021, 5, 8, 23, 1, 42, 434732)]
['video_2.mp4', '19.1772%', datetime.datetime(2021, 5, 8, 23, 1, 42, 450746)]
['video_1.mp4', '19.1624%', datetime.datetime(2021, 5, 8, 23, 1, 42, 606197)]
['video_3.mp4', '19.1624%', datetime.datetime(2021, 5, 8, 23, 1, 42, 623212)]
['video_2.mp4', '19.1624%', datetime.datetime(2021, 5, 8, 23, 1, 42, 639226)]
['video_1.mp4', '18.7522%', datetime.datetime(2021, 5, 8, 23, 1, 42, 797556)]
['video_3.mp4', '18.7522%', datetime.datetime(2021, 5, 8, 23, 1, 42, 812569)]
['video_2.mp4', '18.7522%', datetime.datetime(2021, 5, 8, 23, 1, 42, 828582)]
['video_1.mp4', '18.9901%', datetime.datetime(2021, 5, 8, 23, 1, 42, 987679)]
['video_3.mp4', '18.9901%', datetime.datetime(2021, 5, 8, 23, 1, 43, 2692)]
['video_2.mp4', '18.9901%', datetime.datetime(2021, 5, 8, 23, 1, 43, 17705)]
['video_1.mp4', '19.0067%', datetime.datetime(2021, 5, 8, 23, 1, 43, 172515)]
['video_3.mp4', '19.0067%', datetime.datetime(2021, 5, 8, 23, 1, 43, 189530)]
['video_2.mp4', '19.0067%', datetime.datetime(2021, 5, 8, 23, 1, 43, 204543)]
['video_1.mp4', '19.9262%', datetime.datetime(2021, 5, 8, 23, 1, 43, 359527)]
['video_3.mp4', '19.9262%', datetime.datetime(2021, 5, 8, 23, 1, 43, 377543)]
['video_2.mp4', '19.9262%', datetime.datetime(2021, 5, 8, 23, 1, 43, 392556)]
['video_1.mp4', '19.6481%', datetime.datetime(2021, 5, 8, 23, 1, 43, 548091)]
['video_3.mp4', '19.6481%', datetime.datetime(2021, 5, 8, 23, 1, 43, 565105)]
